 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"171430 NAZARE";36,38;10,95;43,32;9,35;100,00
"171488 NOVA OLINDA";31,22;16,94;40,37;11,47;100,00
"171500 NOVA ROSALANDIA";30,76;8,23;48,04;12,96;100,00
"171510 NOVO ACORDO";34,27;13,66;41,57;10,50;100,00
"171515 NOVO ALEGRE";26,22;11,45;52,08;10,26;100,00
"171525 NOVO JARDIM";38,47;15,27;35,05;11,21;100,00
"171550 OLIVEIRA DE FATIMA";29,94;10,45;53,48;6,13;100,00
"171570 PALMEIRANTE";45,84;12,51;31,80;9,84;100,00
"171575 PALMEIROPOLIS";35,42;11,55;41,76;11,26;100,00
"171610 PARAISO DO TOCANTINS";19,07;12,24;60,95;7,74;100,00
"171620 PARANA";45,82;12,62;30,49;11,07;100,00
"171630 PAU D'ARCO";36,80;12,20;40,84;10,16;100,00
"171650 PEDRO AFONSO";25,23;9,71;57,77;7,28;100,00
"171660 PEIXE";35,65;15,57;41,02;7,75;100,00
"171665 PEQUIZEIRO";36,72;20,35;32,79;10,13;100,00
"171670 COLMEIA";38,34;10,93;39,71;11,02;100,00
"171700 PINDORAMA DO TOCANTINS";43,06;13,08;35,80;8,06;100,00
"171720 PIRAQUE";36,23;17,21;34,24;12,32;100,00
"171750 PIUM";35,29;12,89;41,63;10,19;100,00
"171780 PONTE ALTA DO BOM JESUS";44,10;13,06;32,10;10,74;100,00
"171790 PONTE ALTA DO TOCANTINS";32,05;15,84;40,59;11,52;100,00
"171800 PORTO ALEGRE DO TOCANTINS";36,00;12,37;44,43;7,20;100,00
"171820 PORTO NACIONAL";20,68;11,60;60,23;7,48;100,00
"171830 PRAIA NORTE";41,17;14,28;35,69;8,86;100,00
"171840 PRESIDENTE KENNEDY";32,94;15,43;42,11;9,52;100,00
"171845 PUGMIL";29,63;14,85;44,54;10,98;100,00
"171850 RECURSOLANDIA";47,68;17,61;25,81;8,91;100,00
"171855 RIACHINHO";43,07;10,89;33,93;12,11;100,00
"171865 RIO DA CONCEICAO";29,08;13,74;45,12;12,06;100,00
"171870 RIO DOS BOIS";37,15;15,84;36,23;10,79;100,00
"171875 RIO SONO";38,94;15,76;34,95;10,35;100,00
"171880 SAMPAIO";30,30;14,51;44,64;10,55;100,00
"171884 SANDOLANDIA";37,61;12,96;39,51;9,92;100,00
"171886 SANTA FE DO ARAGUAIA";37,49;15,06;34,63;12,81;100,00
"171888 SANTA MARIA DO TOCANTINS";30,21;16,81;40,27;12,72;100,00
"171889 SANTA RITA DO TOCANTINS";30,86;14,78;39,58;14,78;100,00
"171890 SANTA ROSA DO TOCANTINS";38,28;15,40;34,24;12,09;100,00
"171900 SANTA TEREZA DO TOCANTINS";30,92;16,47;43,39;9,22;100,00
"172000 SANTA TEREZINHA DO TOCANTINS";29,13;18,59;42,15;10,13;100,00
"172010 SAO BENTO DO TOCANTINS";33,74;13,90;39,95;12,42;100,00
"172015 SAO FELIX DO TOCANTINS";39,93;17,11;36,02;6,94;100,00
"172020 SAO MIGUEL DO TOCANTINS";32,01;16,19;42,78;9,02;100,00
"172025 SAO SALVADOR DO TOCANTINS";40,62;15,48;36,65;7,25;100,00
"172030 SAO SEBASTIAO DO TOCANTINS";39,35;15,94;36,61;8,11;100,00
"172049 SAO VALERIO";36,75;11,54;41,29;10,42;100,00
"172065 SILVANOPOLIS";37,08;12,30;44,00;6,62;100,00
"172080 SITIO NOVO DO TOCANTINS";46,13;9,17;36,40;8,30;100,00
"172085 SUCUPIRA";28,97;14,81;44,35;11,87;100,00
"172090 TAGUATINGA";36,62;15,17;36,05;12,16;100,00
"172093 TAIPAS DO TOCANTINS";42,37;16,41;32,28;8,94;100,00
"172097 TALISMA";37,25;9,03;42,81;10,90;100,00
"172100 PALMAS";11,10;9,56;72,91;6,43;100,00
"172110 TOCANTINIA";37,45;16,73;38,10;7,73;100,00
"172120 TOCANTINOPOLIS";25,02;14,53;51,49;8,96;100,00
"172125 TUPIRAMA";33,75;17,95;41,16;7,14;100,00
"172130 TUPIRATINS";56,22;12,10;23,78;7,90;100,00
"172208 WANDERLANDIA";37,18;10,94;42,68;9,20;100,00
"172210 XAMBIOA";29,06;13,26;46,12;11,56;100,00
"210005 ACAILANDIA";30,53;12,89;46,46;10,12;100,00
"210010 AFONSO CUNHA";45,36;16,54;26,97;11,14;100,00
"210015 AGUA DOCE DO MARANHAO";55,70;15,07;19,02;10,21;100,00
"210020 ALCANTARA";39,16;14,02;35,31;11,52;100,00
"210030 ALDEIAS ALTAS";52,46;13,32;22,31;11,92;100,00
"210040 ALTAMIRA DO MARANHAO";51,09;9,23;32,13;7,55;100,00
"210043 ALTO ALEGRE DO MARANHAO";47,72;12,81;28,44;11,04;100,00
"210047 ALTO ALEGRE DO PINDARE";44,65;12,81;29,36;13,18;100,00
"210050 ALTO PARNAIBA";43,02;14,76;32,92;9,30;100,00
"210055 AMAPA DO MARANHAO";44,06;20,00;26,95;8,99;100,00
"210060 AMARANTE DO MARANHAO";43,02;17,45;30,32;9,21;100,00
"210070 ANAJATUBA";42,93;13,31;32,96;10,80;100,00
"210080 ANAPURUS";39,62;12,74;37,93;9,70;100,00
"210083 APICUM-ACU";35,52;17,89;34,26;12,33;100,00
"210087 ARAGUANA";43,68;16,84;31,70;7,78;100,00
"210090 ARAIOSES";53,31;13,71;23,36;9,62;100,00
"210095 ARAME";56,48;10,39;24,60;8,53;100,00
"210100 ARARI";34,77;17,75;39,85;7,63;100,00
"210110 AXIXA";27,72;15,42;49,60;7,26;100,00
"210120 BACABAL";31,73;13,61;45,59;9,07;100,00
"210125 BACABEIRA";29,83;15,64;43,89;10,64;100,00
"210130 BACURI";40,09;14,11;33,21;12,59;100,00
"210135 BACURITUBA";43,31;14,27;29,84;12,58;100,00
"210140 BALSAS";26,80;13,58;50,74;8,88;100,00
"210150 BARAO DE GRAJAU";41,66;14,79;35,03;8,51;100,00
"210160 BARRA DO CORDA";43,21;13,18;35,32;8,30;100,00
"210170 BARREIRINHAS";40,41;16,96;31,84;10,79;100,00
"210173 BELAGUA";48,33;12,75;31,36;7,55;100,00
"210177 BELA VISTA DO MARANHAO";46,68;14,37;29,45;9,50;100,00
"210180 BENEDITO LEITE";52,49;12,12;26,10;9,29;100,00
"210190 BEQUIMAO";39,86;11,41;39,15;9,58;100,00
"210193 BERNARDO DO MEARIM";40,05;14,42;35,57;9,96;100,00
"210197 BOA VISTA DO GURUPI";39,56;16,79;31,60;12,06;100,00
"210200 BOM JARDIM";49,93;14,11;25,60;10,36;100,00
"210203 BOM JESUS DAS SELVAS";51,32;9,20;28,85;10,63;100,00
"210207 BOM LUGAR";49,05;9,97;31,14;9,84;100,00
"210210 BREJO";46,40;15,34;29,53;8,72;100,00
"210215 BREJO DE AREIA";52,05;14,08;24,52;9,36;100,00
"210220 BURITI";43,64;14,47;31,05;10,84;100,00
"210230 BURITI BRAVO";46,55;14,20;31,62;7,63;100,00
"210232 BURITICUPU";44,30;14,36;30,04;11,30;100,00
"210235 BURITIRANA";39,42;14,94;35,42;10,21;100,00
"210237 CACHOEIRA GRANDE";47,49;12,96;31,66;7,89;100,00
"210240 CAJAPIO";39,10;11,98;35,20;13,72;100,00
"210250 CAJARI";41,31;19,60;28,06;11,02;100,00
"210255 CAMPESTRE DO MARANHAO";32,19;13,33;42,33;12,16;100,00
"210260 CANDIDO MENDES";38,14;15,61;31,75;14,50;100,00
"210270 CANTANHEDE";43,67;13,43;33,79;9,11;100,00
"210275 CAPINZAL DO NORTE";49,97;12,64;27,51;9,87;100,00
"210280 CAROLINA";36,24;13,46;39,57;10,74;100,00
"210290 CARUTAPERA";34,57;19,37;33,13;12,92;100,00
"210300 CAXIAS";37,60;13,45;41,21;7,73;100,00
"210310 CEDRAL";33,28;16,00;40,72;9,99;100,00
"210312 CENTRAL DO MARANHAO";39,12;12,96;38,61;9,31;100,00
"210315 CENTRO DO GUILHERME";43,62;15,25;31,00;10,14;100,00
"210317 CENTRO NOVO DO MARANHAO";48,23;15,05;24,95;11,78;100,00
"210320 CHAPADINHA";40,78;12,08;37,67;9,46;100,00
"210325 CIDELANDIA";37,47;14,64;34,88;13,00;100,00
"210330 CODO";42,96;13,23;34,49;9,32;100,00
"210340 COELHO NETO";43,55;14,64;31,50;10,31;100,00
"210350 COLINAS";42,41;13,09;35,31;9,18;100,00
"210355 CONCEICAO DO LAGO-ACU";48,75;18,01;21,87;11,37;100,00
"210360 COROATA";47,70;13,40;30,99;7,92;100,00
"210370 CURURUPU";37,47;13,67;37,11;11,75;100,00
"210375 DAVINOPOLIS";35,52;13,76;40,85;9,87;100,00
"210380 DOM PEDRO";38,75;14,13;37,23;9,89;100,00
"210390 DUQUE BACELAR";46,33;14,32;29,06;10,30;100,00
"210400 ESPERANTINOPOLIS";44,80;12,91;33,97;8,33;100,00
"210405 ESTREITO";32,74;12,80;42,97;11,49;100,00
"210407 FEIRA NOVA DO MARANHAO";42,18;17,84;27,89;12,09;100,00
"210408 FERNANDO FALCAO";64,19;12,99;15,37;7,45;100,00
"210409 FORMOSA DA SERRA NEGRA";43,14;13,70;32,09;11,07;100,00
"210410 FORTALEZA DOS NOGUEIRAS";36,35;13,05;39,30;11,29;100,00
"210420 FORTUNA";44,40;16,18;32,02;7,39;100,00
"210430 GODOFREDO VIANA";31,40;16,92;39,83;11,85;100,00
"210440 GONCALVES DIAS";49,30;15,04;27,34;8,32;100,00
"210450 GOVERNADOR ARCHER";49,19;12,22;28,86;9,72;100,00
"210455 GOVERNADOR EDISON LOBAO";32,70;13,78;40,31;13,22;100,00
"210460 GOVERNADOR EUGENIO BARROS";45,08;15,43;29,92;9,57;100,00
"210462 GOVERNADOR LUIZ ROCHA";44,03;17,58;29,11;9,28;100,00
"210465 GOVERNADOR NEWTON BELLO";55,16;12,78;23,77;8,29;100,00
"210467 GOVERNADOR NUNES FREIRE";38,25;13,41;34,04;14,30;100,00
"210470 GRACA ARANHA";40,98;14,81;29,73;14,49;100,00
"210480 GRAJAU";39,31;16,48;34,27;9,95;100,00
"210490 GUIMARAES";27,37;17,56;45,31;9,76;100,00
"210500 HUMBERTO DE CAMPOS";41,77;18,98;29,83;9,42;100,00
"210510 ICATU";43,91;13,03;32,09;10,96;100,00
"210515 IGARAPE DO MEIO";37,45;14,22;35,78;12,55;100,00
"210520 IGARAPE GRANDE";37,96;15,05;36,88;10,12;100,00
"210530 IMPERATRIZ";19,08;12,05;60,81;8,06;100,00
"210535 ITAIPAVA DO GRAJAU";48,88;14,78;26,20;10,15;100,00
"210540 ITAPECURU MIRIM";42,07;12,03;37,64;8,25;100,00
"210542 ITINGA DO MARANHAO";35,09;14,13;38,79;11,99;100,00
"210545 JATOBA";42,25;18,04;29,45;10,27;100,00
"210547 JENIPAPO DOS VIEIRAS";54,76;11,60;24,38;9,26;100,00
"210550 JOAO LISBOA";35,83;12,31;43,55;8,31;100,00
"210560 JOSELANDIA";47,72;17,74;26,33;8,20;100,00
"210565 JUNCO DO MARANHAO";44,59;17,20;29,66;8,55;100,00
"210570 LAGO DA PEDRA";42,16;14,45;33,22;10,17;100,00
"210580 LAGO DO JUNCO";45,92;12,82;31,97;9,29;100,00
"210590 LAGO VERDE";45,39;15,48;30,61;8,52;100,00
"210592 LAGOA DO MATO";48,79;15,04;28,97;7,19;100,00
"210594 LAGO DOS RODRIGUES";41,72;12,94;34,67;10,67;100,00
"210596 LAGOA GRANDE DO MARANHAO";55,63;14,26;19,39;10,72;100,00
"210598 LAJEADO NOVO";39,42;13,81;33,00;13,77;100,00
"210600 LIMA CAMPOS";45,11;13,46;31,17;10,27;100,00
"210610 LORETO";40,82;12,57;32,61;14,01;100,00
"210620 LUIS DOMINGUES";31,76;19,75;38,73;9,76;100,00
"210630 MAGALHAES DE ALMEIDA";44,96;12,46;34,74;7,85;100,00
"210632 MARACACUME";39,31;14,92;36,10;9,68;100,00
"210635 MARAJA DO SENA";59,00;11,44;13,57;15,99;100,00
"210637 MARANHAOZINHO";43,24;13,18;34,06;9,53;100,00
"210640 MATA ROMA";43,63;13,82;36,41;6,13;100,00
"210650 MATINHA";35,58;14,59;42,29;7,54;100,00
"210660 MATOES";50,80;14,29;25,95;8,96;100,00
"210663 MATOES DO NORTE";51,05;11,72;28,05;9,18;100,00
"210667 MILAGRES DO MARANHAO";53,59;13,71;23,20;9,49;100,00
"210670 MIRADOR";47,98;13,17;28,61;10,24;100,00
"210675 MIRANDA DO NORTE";33,96;11,70;43,76;10,59;100,00
"210680 MIRINZAL";32,54;13,62;44,16;9,68;100,00
"210690 MONCAO";43,17;14,23;31,51;11,09;100,00
"210700 MONTES ALTOS";38,55;13,93;36,19;11,33;100,00
"210710 MORROS";43,30;11,61;36,24;8,85;100,00
"210720 NINA RODRIGUES";39,81;10,31;39,94;9,93;100,00
"210725 NOVA COLINAS";38,93;16,79;32,13;12,14;100,00
"210730 NOVA IORQUE";46,00;14,96;30,98;8,05;100,00
"210735 NOVA OLINDA DO MARANHAO";41,33;15,96;33,96;8,75;100,00
"210740 OLHO D'AGUA DAS CUNHAS";45,37;12,82;31,57;10,24;100,00
"210745 OLINDA NOVA DO MARANHAO";34,74;15,56;37,86;11,84;100,00
"210750 PACO DO LUMIAR";12,40;9,02;70,88;7,70;100,00
"210760 PALMEIRANDIA";41,68;16,14;31,72;10,46;100,00
"210770 PARAIBANO";44,47;14,27;31,50;9,76;100,00
"210780 PARNARAMA";51,70;13,39;24,36;10,55;100,00
"210790 PASSAGEM FRANCA";55,11;14,92;22,52;7,45;100,00
"210800 PASTOS BONS";37,99;13,88;38,33;9,80;100,00
"210805 PAULINO NEVES";38,69;15,30;35,01;11,00;100,00
"210810 PAULO RAMOS";41,96;15,28;26,42;16,34;100,00
"210820 PEDREIRAS";33,33;10,95;47,67;8,05;100,00
"210825 PEDRO DO ROSARIO";42,95;14,67;27,84;14,54;100,00
"210830 PENALVA";37,86;19,13;33,37;9,64;100,00
"210840 PERI MIRIM";36,58;12,62;38,40;12,40;100,00
"210845 PERITORO";50,65;11,38;28,47;9,50;100,00
"210850 PINDARE-MIRIM";31,00;14,57;45,84;8,59;100,00
"210860 PINHEIRO";33,20;14,44;42,74;9,62;100,00
"210870 PIO XII";53,90;9,80;25,92;10,38;100,00
"210880 PIRAPEMAS";42,14;13,30;35,34;9,21;100,00
"210890 POCAO DE PEDRAS";47,01;12,81;29,61;10,57;100,00
"210900 PORTO FRANCO";29,05;13,08;47,84;10,02;100,00
"210905 PORTO RICO DO MARANHAO";33,18;18,12;39,22;9,48;100,00
"210910 PRESIDENTE DUTRA";35,15;13,16;42,49;9,20;100,00
"210920 PRESIDENTE JUSCELINO";37,84;15,11;38,56;8,49;100,00
"210923 PRESIDENTE MEDICI";37,44;13,21;39,25;10,10;100,00
"210927 PRESIDENTE SARNEY";45,13;13,96;29,33;11,58;100,00
"210930 PRESIDENTE VARGAS";37,70;11,89;40,54;9,86;100,00
"210940 PRIMEIRA CRUZ";48,54;16,65;25,17;9,63;100,00
"210945 RAPOSA";29,42;14,33;45,69;10,56;100,00
"210950 RIACHAO";47,68;14,77;29,12;8,43;100,00
"210955 RIBAMAR FIQUENE";37,19;12,17;36,49;14,15;100,00
"210960 ROSARIO";31,73;13,76;46,33;8,19;100,00
"210970 SAMBAIBA";47,08;13,28;30,52;9,13;100,00
"210975 SANTA FILOMENA DO MARANHAO";48,42;20,13;24,34;7,11;100,00
"210980 SANTA HELENA";42,54;13,86;33,26;10,35;100,00
"210990 SANTA INES";29,09;13,82;48,94;8,15;100,00
"211000 SANTA LUZIA";46,96;13,00;29,55;10,49;100,00
"211003 SANTA LUZIA DO PARUA";40,96;13,05;37,18;8,81;100,00
"211010 SANTA QUITERIA DO MARANHAO";45,17;14,05;30,76;10,02;100,00
"211020 SANTA RITA";35,11;13,53;40,01;11,34;100,00
"211023 SANTANA DO MARANHAO";52,12;14,71;23,44;9,73;100,00
"211027 SANTO AMARO DO MARANHAO";41,78;19,02;26,45;12,76;100,00
"211030 SANTO ANTONIO DOS LOPES";45,42;12,06;31,22;11,31;100,00
"211040 SAO BENEDITO DO RIO PRETO";47,02;15,28;29,39;8,32;100,00
"211050 SAO BENTO";35,14;15,11;42,10;7,64;100,00
"211060 SAO BERNARDO";43,14;15,99;32,57;8,30;100,00
"211065 SAO DOMINGOS DO AZEITAO";43,21;14,51;33,95;8,33;100,00
"211070 SAO DOMINGOS DO MARANHAO";43,11;14,28;32,77;9,84;100,00
"211080 SAO FELIX DE BALSAS";47,36;12,90;27,40;12,33;100,00
"211085 SAO FRANCISCO DO BREJAO";38,83;16,55;34,18;10,44;100,00
"211090 SAO FRANCISCO DO MARANHAO";55,67;15,16;22,63;6,54;100,00
"211100 SAO JOAO BATISTA";34,92;13,36;42,38;9,35;100,00
"211102 SAO JOAO DO CARU";50,19;15,91;24,53;9,37;100,00
"211105 SAO JOAO DO PARAISO";36,93;13,00;40,43;9,64;100,00
"211107 SAO JOAO DO SOTER";53,99;14,36;22,15;9,51;100,00
"211110 SAO JOAO DOS PATOS";37,21;14,46;36,88;11,46;100,00
"211120 SAO JOSE DE RIBAMAR";15,96;10,58;65,49;7,96;100,00
"211125 SAO JOSE DOS BASILIOS";44,95;14,54;31,12;9,39;100,00
"211130 SAO LUIS";12,55;8,99;72,06;6,40;100,00
"211140 SAO LUIS GONZAGA DO MARANHAO";52,65;11,18;27,26;8,92;100,00
"211150 SAO MATEUS DO MARANHAO";43,82;13,77;34,87;7,54;100,00
"211153 SAO PEDRO DA AGUA BRANCA";38,34;15,02;34,38;12,26;100,00
"211157 SAO PEDRO DOS CRENTES";38,94;14,17;37,35;9,54;100,00
"211160 SAO RAIMUNDO DAS MANGABEIRAS";41,16;12,61;37,12;9,11;100,00
"211163 SAO RAIMUNDO DO DOCA BEZERRA";50,79;15,37;24,87;8,98;100,00
"211167 SAO ROBERTO";49,21;18,19;23,17;9,43;100,00
"211170 SAO VICENTE FERRER";37,51;10,85;41,40;10,24;100,00
"211172 SATUBINHA";52,90;15,60;21,21;10,29;100,00
"211174 SENADOR ALEXANDRE COSTA";48,19;16,46;27,78;7,57;100,00
"211176 SENADOR LA ROCQUE";43,23;12,11;35,05;9,60;100,00
"211178 SERRANO DO MARANHAO";47,68;16,15;27,75;8,42;100,00
"211180 SITIO NOVO";42,35;13,27;31,84;12,55;100,00
"211190 SUCUPIRA DO NORTE";40,23;17,77;33,42;8,58;100,00
"211195 SUCUPIRA DO RIACHAO";45,86;15,97;26,93;11,24;100,00
"211200 TASSO FRAGOSO";36,58;20,72;32,97;9,73;100,00
"211210 TIMBIRAS";52,54;10,73;27,31;9,42;100,00
"211220 TIMON";30,34;15,35;45,77;8,53;100,00
"211223 TRIZIDELA DO VALE";39,94;14,29;36,36;9,42;100,00
"211227 TUFILANDIA";41,01;14,31;31,19;13,50;100,00
"211230 TUNTUM";46,58;13,23;29,75;10,44;100,00
"211240 TURIACU";40,10;16,63;31,65;11,61;100,00
"211245 TURILANDIA";48,67;14,14;25,69;11,50;100,00
"211250 TUTOIA";43,85;16,79;30,51;8,85;100,00
"211260 URBANO SANTOS";41,35;12,75;38,04;7,85;100,00
"211270 VARGEM GRANDE";50,14;10,05;29,49;10,32;100,00
"211280 VIANA";31,51;16,16;41,38;10,94;100,00
"211285 VILA NOVA DOS MARTIRIOS";38,95;12,14;36,56;12,35;100,00
"211290 VITORIA DO MEARIM";38,31;15,79;37,09;8,81;100,00
"211300 VITORINO FREIRE";46,16;13,39;30,71;9,74;100,00
"211400 ZE DOCA";40,93;12,27;36,42;10,38;100,00
"220005 ACAUA";52,76;11,92;23,09;12,23;100,00
"220010 AGRICOLANDIA";39,38;15,46;37,55;7,61;100,00
"220020 AGUA BRANCA";34,09;14,18;42,54;9,19;100,00
"220025 ALAGOINHA DO PIAUI";61,49;8,34;21,58;8,59;100,00
"220027 ALEGRETE DO PIAUI";53,66;8,28;29,58;8,47;100,00
"220030 ALTO LONGA";51,55;10,71;28,86;8,88;100,00
"220040 ALTOS";37,37;14,91;37,69;10,02;100,00
"220045 ALVORADA DO GURGUEIA";38,31;14,51;35,09;12,09;100,00
"220050 AMARANTE";43,98;13,49;35,01;7,52;100,00
"220060 ANGICAL DO PIAUI";39,19;13,42;39,01;8,38;100,00
"220070 ANISIO DE ABREU";39,70;11,41;34,55;14,35;100,00
"220080 ANTONIO ALMEIDA";38,29;13,87;38,11;9,73;100,00
"220090 AROAZES";50,96;11,53;30,14;7,37;100,00
"220095 AROEIRAS DO ITAIM";66,79;7,58;20,45;5,18;100,00
"220100 ARRAIAL";45,60;14,35;29,95;10,10;100,00
"220105 ASSUNCAO DO PIAUI";60,35;9,18;22,04;8,43;100,00
"220110 AVELINO LOPES";44,74;14,31;29,10;11,86;100,00
"220115 BAIXA GRANDE DO RIBEIRO";45,26;12,41;29,94;12,40;100,00
"220117 BARRA D'ALCANTARA";48,69;13,83;27,02;10,47;100,00
"220120 BARRAS";43,63;13,64;32,74;9,99;100,00
"220130 BARREIRAS DO PIAUI";39,02;15,31;34,80;10,87;100,00
"220140 BARRO DURO";38,45;14,58;35,53;11,44;100,00
"220150 BATALHA";49,52;15,92;23,61;10,95;100,00
"220155 BELA VISTA DO PIAUI";44,92;10,42;33,40;11,27;100,00
"220157 BELEM DO PIAUI";52,58;14,29;25,59;7,53;100,00
"220160 BENEDITINOS";53,20;14,46;22,71;9,63;100,00
"220170 BERTOLINIA";38,35;14,67;35,24;11,75;100,00
"220173 BETANIA DO PIAUI";50,94;13,46;20,77;14,83;100,00
"220177 BOA HORA";48,00;13,39;28,93;9,67;100,00
"220180 BOCAINA";45,85;10,77;36,45;6,93;100,00
"220190 BOM JESUS";32,52;11,60;46,47;9,41;100,00
"220191 BOM PRINCIPIO DO PIAUI";47,71;18,10;21,25;12,94;100,00
"220192 BONFIM DO PIAUI";49,07;14,86;24,21;11,86;100,00
"220194 BOQUEIRAO DO PIAUI";47,85;14,15;25,77;12,23;100,00
"220196 BRASILEIRA";50,93;14,05;26,00;9,02;100,00
"220198 BREJO DO PIAUI";61,51;9,92;20,05;8,52;100,00
"220200 BURITI DOS LOPES";45,09;14,96;28,82;11,14;100,00
"220202 BURITI DOS MONTES";50,58;10,78;27,69;10,94;100,00
"220205 CABECEIRAS DO PIAUI";43,99;16,75;28,24;11,02;100,00
"220207 CAJAZEIRAS DO PIAUI";51,44;10,05;30,04;8,47;100,00
"220208 CAJUEIRO DA PRAIA";47,88;13,42;24,37;14,32;100,00
"220209 CALDEIRAO GRANDE DO PIAUI";48,48;12,15;28,20;11,17;100,00
"220210 CAMPINAS DO PIAUI";50,14;11,38;24,17;14,30;100,00
"220211 CAMPO ALEGRE DO FIDALGO";50,47;15,31;23,52;10,70;100,00
"220213 CAMPO GRANDE DO PIAUI";53,10;13,57;24,67;8,66;100,00
"220217 CAMPO LARGO DO PIAUI";47,86;16,43;25,28;10,43;100,00
"220220 CAMPO MAIOR";35,82;13,47;42,21;8,50;100,00
"220225 CANAVIEIRA";42,13;13,99;30,06;13,81;100,00
"220230 CANTO DO BURITI";50,59;11,67;28,98;8,76;100,00
"220240 CAPITAO DE CAMPOS";46,87;14,70;26,50;11,93;100,00
"220245 CAPITAO GERVASIO OLIVEIRA";54,87;8,16;28,63;8,34;100,00
"220250 CARACOL";49,83;14,46;26,00;9,72;100,00
"220253 CARAUBAS DO PIAUI";57,39;9,31;17,73;15,58;100,00
"220255 CARIDADE DO PIAUI";47,37;15,33;27,30;10,00;100,00
"220260 CASTELO DO PIAUI";46,48;10,86;30,66;11,99;100,00
"220265 CAXINGO";58,94;12,73;16,71;11,62;100,00
"220270 COCAL";53,82;13,84;21,04;11,30;100,00
"220271 COCAL DE TELHA";50,03;17,03;22,27;10,66;100,00
"220272 COCAL DOS ALVES";56,69;12,04;17,39;13,87;100,00
"220273 COIVARAS";47,92;16,61;28,54;6,94;100,00
"220275 COLONIA DO GURGUEIA";31,71;15,11;42,42;10,77;100,00
"220277 COLONIA DO PIAUI";48,21;14,09;27,56;10,14;100,00
"220280 CONCEICAO DO CANINDE";48,36;12,45;30,59;8,61;100,00
"220285 CORONEL JOSE DIAS";47,30;12,57;28,23;11,89;100,00
"220290 CORRENTE";30,87;15,22;44,25;9,67;100,00
"220300 CRISTALANDIA DO PIAUI";44,66;13,76;30,21;11,37;100,00
"220310 CRISTINO CASTRO";41,95;16,83;30,15;11,08;100,00
"220320 CURIMATA";33,76;17,47;39,19;9,58;100,00
"220323 CURRAIS";50,75;12,82;28,03;8,39;100,00
"220325 CURRALINHOS";44,17;18,62;27,47;9,74;100,00
"220327 CURRAL NOVO DO PIAUI";50,28;14,23;25,69;9,80;100,00
"220330 DEMERVAL LOBAO";37,95;14,70;36,61;10,74;100,00
"220335 DIRCEU ARCOVERDE";47,23;12,92;28,49;11,36;100,00
"220340 DOM EXPEDITO LOPES";44,24;15,41;31,55;8,80;100,00
"220342 DOMINGOS MOURAO";56,40;12,70;23,46;7,44;100,00
"220345 DOM INOCENCIO";45,67;12,66;26,00;15,67;100,00
"220350 ELESBAO VELOSO";48,69;14,58;26,31;10,41;100,00
"220360 ELISEU MARTINS";43,03;14,81;30,58;11,57;100,00
"220370 ESPERANTINA";40,04;13,56;35,33;11,07;100,00
"220375 FARTURA DO PIAUI";54,57;13,20;25,29;6,93;100,00
"220380 FLORES DO PIAUI";54,25;11,26;26,65;7,84;100,00
"220385 FLORESTA DO PIAUI";59,42;10,06;23,21;7,31;100,00
"220390 FLORIANO";24,21;13,96;55,29;6,53;100,00
"220400 FRANCINOPOLIS";47,58;11,57;31,32;9,53;100,00
"220410 FRANCISCO AYRES";45,06;13,83;30,35;10,75;100,00
"220415 FRANCISCO MACEDO";54,63;14,63;22,90;7,85;100,00
"220420 FRANCISCO SANTOS";45,95;11,43;32,34;10,28;100,00
"220430 FRONTEIRAS";47,93;8,88;34,58;8,61;100,00
"220435 GEMINIANO";48,27;14,49;27,25;9,98;100,00
"220440 GILBUES";46,02;14,99;28,88;10,11;100,00
"220450 GUADALUPE";32,55;16,83;40,39;10,23;100,00
"220455 GUARIBAS";50,64;13,36;22,58;13,43;100,00
"220460 HUGO NAPOLEAO";44,38;9,20;35,03;11,39;100,00
"220465 ILHA GRANDE";39,58;16,12;35,02;9,28;100,00
"220470 INHUMA";43,60;12,81;35,57;8,03;100,00
"220480 IPIRANGA DO PIAUI";39,18;12,93;39,75;8,15;100,00
"220490 ISAIAS COELHO";51,53;15,57;24,69;8,21;100,00
"220500 ITAINOPOLIS";56,58;13,18;23,39;6,84;100,00
"220510 ITAUEIRA";45,65;14,43;27,38;12,53;100,00
"220515 JACOBINA DO PIAUI";56,39;11,76;24,06;7,80;100,00
"220520 JAICOS";54,52;11,30;25,76;8,42;100,00
"220525 JARDIM DO MULATO";44,36;10,83;35,44;9,37;100,00
"220527 JATOBA DO PIAUI";48,91;13,77;23,77;13,55;100,00
"220530 JERUMENHA";45,63;14,40;31,11;8,86;100,00
"220535 JOAO COSTA";47,98;12,63;29,76;9,63;100,00
"220540 JOAQUIM PIRES";56,46;12,73;22,16;8,66;100,00
"220545 JOCA MARQUES";57,07;14,64;19,17;9,12;100,00
"220550 JOSE DE FREITAS";38,66;13,98;36,81;10,55;100,00
"220551 JUAZEIRO DO PIAUI";46,75;14,43;29,92;8,90;100,00
"220552 JULIO BORGES";36,25;15,68;35,63;12,44;100,00
"220553 JUREMA";48,01;16,10;26,29;9,61;100,00
"220554 LAGOINHA DO PIAUI";47,45;12,45;31,67;8,44;100,00
