 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"170200 ARAGUACU";20,51;16,79;31,16;30,07;0,08;1,39;100,00
"170210 ARAGUAINA";11,10;16,96;30,78;40,36;0,13;0,66;100,00
"170215 ARAGUANA";21,39;28,38;33,56;15,50;0,31;0,86;100,00
"170220 ARAGUATINS";21,98;24,16;30,79;22,28;0,24;0,55;100,00
"170230 ARAPOEMA";24,46;20,84;28,30;26,24;-;0,16;100,00
"170240 ARRAIAS";33,31;22,34;25,06;19,25;0,04;-;100,00
"170255 AUGUSTINOPOLIS";23,33;20,93;30,32;23,61;0,89;0,92;100,00
"170270 AURORA DO TOCANTINS";26,49;24,11;26,63;22,01;0,42;0,33;100,00
"170290 AXIXA DO TOCANTINS";28,15;19,96;28,71;22,02;0,09;1,06;100,00
"170300 BABACULANDIA";20,65;27,32;33,04;18,36;0,19;0,44;100,00
"170305 BANDEIRANTES DO TOCANTINS";18,90;28,99;35,62;15,61;0,65;0,23;100,00
"170307 BARRA DO OURO";30,64;29,29;29,77;9,57;-;0,72;100,00
"170310 BARROLANDIA";16,77;25,93;29,65;25,10;0,34;2,20;100,00
"170320 BERNARDO SAYAO";16,15;25,98;34,93;22,70;-;0,24;100,00
"170330 BOM JESUS DO TOCANTINS";27,87;30,73;26,97;13,10;0,56;0,77;100,00
"170360 BRASILANDIA DO TOCANTINS";21,10;26,14;29,30;22,97;0,49;-;100,00
"170370 BREJINHO DE NAZARE";18,43;24,07;33,52;23,04;-;0,93;100,00
"170380 BURITI DO TOCANTINS";21,57;23,27;27,37;27,18;-;0,60;100,00
"170382 CACHOEIRINHA";11,79;24,26;41,28;17,52;-;5,14;100,00
"170384 CAMPOS LINDOS";27,71;31,85;28,84;10,24;-;1,36;100,00
"170386 CARIRI DO TOCANTINS";15,75;26,11;38,04;20,10;-;-;100,00
"170388 CARMOLANDIA";20,31;28,98;30,78;18,59;0,47;0,86;100,00
"170389 CARRASCO BONITO";31,03;26,67;28,77;13,53;-;-;100,00
"170390 CASEARA";26,10;22,90;26,86;24,14;-;-;100,00
"170410 CENTENARIO";18,83;39,27;27,99;12,89;-;1,03;100,00
"170460 CHAPADA DE AREIA";16,12;24,74;40,41;18,73;-;-;100,00
"170510 CHAPADA DA NATIVIDADE";12,79;37,92;37,87;11,42;-;-;100,00
"170550 COLINAS DO TOCANTINS";17,57;20,27;30,76;30,67;0,07;0,65;100,00
"170555 COMBINADO";27,03;20,23;26,32;26,42;-;-;100,00
"170560 CONCEICAO DO TOCANTINS";27,43;29,90;25,83;16,85;-;-;100,00
"170600 COUTO MAGALHAES";23,28;26,19;33,30;16,99;-;0,25;100,00
"170610 CRISTALANDIA";15,71;18,90;32,63;31,98;-;0,78;100,00
"170625 CRIXAS DO TOCANTINS";10,90;32,06;27,51;29,52;-;-;100,00
"170650 DARCINOPOLIS";23,67;29,80;32,71;13,33;-;0,49;100,00
"170700 DIANOPOLIS";16,50;21,79;31,38;29,11;0,60;0,62;100,00
"170710 DIVINOPOLIS DO TOCANTINS";22,03;20,91;30,56;25,87;-;0,63;100,00
"170720 DOIS IRMAOS DO TOCANTINS";18,81;29,48;33,96;17,38;-;0,37;100,00
"170730 DUERE";20,44;22,51;28,27;28,68;-;0,10;100,00
"170740 ESPERANTINA";32,09;30,55;25,52;11,77;0,07;-;100,00
"170755 FATIMA";13,47;21,45;30,81;33,85;0,20;0,24;100,00
"170765 FIGUEIROPOLIS";15,84;20,17;30,74;32,63;0,10;0,52;100,00
"170770 FILADELFIA";18,41;33,45;28,91;18,12;0,19;0,92;100,00
"170820 FORMOSO DO ARAGUAIA";14,66;21,40;35,77;28,02;-;0,15;100,00
"170825 FORTALEZA DO TABOCAO";18,19;24,10;41,18;16,53;-;-;100,00
"170830 GOIANORTE";17,53;35,50;31,62;14,28;-;1,07;100,00
"170900 GOIATINS";34,42;25,42;27,76;11,63;0,37;0,40;100,00
"170930 GUARAI";12,46;19,83;34,71;32,11;0,06;0,83;100,00
"170950 GURUPI";9,08;14,79;31,48;43,96;0,11;0,58;100,00
"170980 IPUEIRAS";14,66;28,55;37,71;19,08;-;-;100,00
"171050 ITACAJA";25,19;29,80;26,48;17,84;-;0,70;100,00
"171070 ITAGUATINS";28,22;26,85;28,38;15,40;0,08;1,07;100,00
"171090 ITAPIRATINS";24,60;21,77;38,24;14,49;0,52;0,38;100,00
"171110 ITAPORA DO TOCANTINS";24,59;15,22;39,44;20,75;-;-;100,00
"171150 JAU DO TOCANTINS";20,96;25,60;33,53;19,45;-;0,46;100,00
"171180 JUARINA";11,74;28,26;40,72;17,90;0,39;0,98;100,00
"171190 LAGOA DA CONFUSAO";20,83;26,97;28,94;23,11;0,15;-;100,00
"171195 LAGOA DO TOCANTINS";22,84;32,10;31,96;13,09;-;-;100,00
"171200 LAJEADO";12,96;39,63;20,04;24,40;-;2,97;100,00
"171215 LAVANDEIRA";35,67;16,08;27,69;20,56;-;-;100,00
"171240 LIZARDA";27,51;27,10;32,42;12,51;-;0,45;100,00
"171245 LUZINOPOLIS";20,95;20,14;36,28;21,67;-;0,96;100,00
"171250 MARIANOPOLIS DO TOCANTINS";15,70;27,83;35,33;20,23;-;0,92;100,00
"171270 MATEIROS";32,32;39,32;24,52;3,84;-;-;100,00
"171280 MAURILANDIA DO TOCANTINS";18,62;32,64;29,14;16,58;0,17;2,85;100,00
"171320 MIRACEMA DO TOCANTINS";11,08;21,42;34,90;32,11;-;0,49;100,00
"171330 MIRANORTE";16,83;21,32;34,51;26,19;0,05;1,09;100,00
"171360 MONTE DO CARMO";19,58;29,65;32,18;17,87;-;0,72;100,00
"171370 MONTE SANTO DO TOCANTINS";18,58;27,53;35,85;18,04;-;-;100,00
"171380 PALMEIRAS DO TOCANTINS";18,28;29,60;32,48;18,10;-;1,55;100,00
"171395 MURICILANDIA";38,75;22,51;21,87;15,84;0,41;0,64;100,00
"171420 NATIVIDADE";23,02;29,51;26,18;20,99;-;0,29;100,00
"171430 NAZARE";19,38;22,12;30,16;26,82;0,15;1,37;100,00
"171488 NOVA OLINDA";22,51;22,90;32,24;22,03;0,13;0,18;100,00
"171500 NOVA ROSALANDIA";16,25;14,68;33,41;35,03;-;0,62;100,00
"171510 NOVO ACORDO";14,16;29,03;33,44;22,17;0,22;0,98;100,00
"171515 NOVO ALEGRE";18,38;24,05;27,38;29,73;-;0,46;100,00
"171525 NOVO JARDIM";18,55;40,57;32,83;8,05;-;-;100,00
"171550 OLIVEIRA DE FATIMA";16,67;18,11;40,87;22,60;1,76;-;100,00
"171570 PALMEIRANTE";30,59;27,47;31,41;7,59;0,41;2,53;100,00
"171575 PALMEIROPOLIS";17,59;20,25;34,85;27,03;-;0,28;100,00
"171610 PARAISO DO TOCANTINS";10,92;16,56;30,02;41,84;0,10;0,57;100,00
"171620 PARANA";33,14;35,14;21,31;10,33;-;0,08;100,00
"171630 PAU D'ARCO";24,38;21,03;37,21;17,38;-;-;100,00
"171650 PEDRO AFONSO";13,45;21,91;29,96;30,98;1,57;2,14;100,00
"171660 PEIXE";22,06;25,56;30,02;21,31;-;1,04;100,00
"171665 PEQUIZEIRO";21,68;26,13;34,83;17,10;-;0,27;100,00
"171670 COLMEIA";19,47;23,79;32,88;22,90;0,30;0,65;100,00
"171700 PINDORAMA DO TOCANTINS";20,46;23,68;37,32;18,38;-;0,16;100,00
"171720 PIRAQUE";19,31;24,13;35,56;21,00;-;-;100,00
"171750 PIUM";14,86;24,45;29,86;30,22;0,36;0,25;100,00
"171780 PONTE ALTA DO BOM JESUS";25,76;26,65;31,98;15,34;-;0,27;100,00
"171790 PONTE ALTA DO TOCANTINS";21,78;28,24;30,04;19,95;-;-;100,00
"171800 PORTO ALEGRE DO TOCANTINS";25,83;25,62;31,26;17,29;-;-;100,00
"171820 PORTO NACIONAL";13,60;17,59;29,23;38,49;0,04;1,05;100,00
"171830 PRAIA NORTE";28,83;31,05;26,20;13,30;-;0,63;100,00
"171840 PRESIDENTE KENNEDY";19,68;24,82;24,05;31,46;-;-;100,00
"171845 PUGMIL";15,28;28,11;33,65;18,05;0,40;4,51;100,00
"171850 RECURSOLANDIA";24,52;28,91;33,68;11,35;-;1,54;100,00
"171855 RIACHINHO";27,20;27,34;32,88;11,58;-;1,01;100,00
"171865 RIO DA CONCEICAO";18,41;30,43;34,64;15,36;0,29;0,87;100,00
"171870 RIO DOS BOIS";21,09;21,51;36,58;20,82;-;-;100,00
"171875 RIO SONO";25,60;27,67;30,89;15,47;-;0,38;100,00
"171880 SAMPAIO";25,16;15,83;31,15;27,87;-;-;100,00
"171884 SANDOLANDIA";21,33;23,66;35,12;17,38;0,66;1,84;100,00
"171886 SANTA FE DO ARAGUAIA";24,40;23,82;34,50;16,33;-;0,95;100,00
"171888 SANTA MARIA DO TOCANTINS";24,84;32,81;28,04;14,31;-;-;100,00
"171889 SANTA RITA DO TOCANTINS";19,94;25,24;34,34;19,62;-;0,87;100,00
"171890 SANTA ROSA DO TOCANTINS";21,85;28,30;33,41;15,86;-;0,58;100,00
"171900 SANTA TEREZA DO TOCANTINS";14,63;25,36;31,88;24,38;-;3,75;100,00
"172000 SANTA TEREZINHA DO TOCANTINS";14,33;28,80;35,83;18,12;0,07;2,85;100,00
"172010 SAO BENTO DO TOCANTINS";20,85;29,54;31,05;17,38;-;1,19;100,00
"172015 SAO FELIX DO TOCANTINS";15,43;32,96;34,92;16,13;0,14;0,42;100,00
"172020 SAO MIGUEL DO TOCANTINS";27,25;23,48;32,64;15,75;-;0,88;100,00
"172025 SAO SALVADOR DO TOCANTINS";24,40;28,75;31,57;15,29;-;-;100,00
"172030 SAO SEBASTIAO DO TOCANTINS";22,27;18,52;32,78;26,12;-;0,32;100,00
"172049 SAO VALERIO";21,29;32,90;27,52;17,82;-;0,48;100,00
"172065 SILVANOPOLIS";20,84;34,09;26,81;18,26;-;-;100,00
"172080 SITIO NOVO DO TOCANTINS";23,05;20,54;31,97;22,45;0,31;1,69;100,00
"172085 SUCUPIRA";21,04;22,63;35,69;20,64;-;-;100,00
"172090 TAGUATINGA";21,51;26,65;29,62;21,37;-;0,86;100,00
"172093 TAIPAS DO TOCANTINS";36,32;18,11;30,19;15,38;-;-;100,00
"172097 TALISMA";20,76;33,51;27,33;18,40;-;-;100,00
"172100 PALMAS";5,87;10,54;29,38;53,60;0,04;0,55;100,00
"172110 TOCANTINIA";25,52;25,55;26,66;20,76;0,15;1,36;100,00
"172120 TOCANTINOPOLIS";14,43;18,36;29,05;35,78;0,18;2,20;100,00
"172125 TUPIRAMA";28,03;29,93;22,99;17,28;-;1,77;100,00
"172130 TUPIRATINS";24,59;33,99;29,35;12,06;-;-;100,00
"172208 WANDERLANDIA";21,02;23,40;30,71;23,83;0,37;0,67;100,00
"172210 XAMBIOA";16,80;25,90;30,28;25,12;0,68;1,23;100,00
"210005 ACAILANDIA";21,02;23,10;32,02;22,81;0,05;1,00;100,00
"210010 AFONSO CUNHA";37,96;26,77;24,01;9,05;-;2,21;100,00
"210015 AGUA DOCE DO MARANHAO";33,40;38,83;20,36;4,27;0,20;2,93;100,00
"210020 ALCANTARA";26,89;23,46;30,76;17,64;0,39;0,87;100,00
"210030 ALDEIAS ALTAS";36,15;30,72;20,48;7,81;0,56;4,28;100,00
"210040 ALTAMIRA DO MARANHAO";31,32;27,93;24,96;12,79;0,78;2,22;100,00
"210043 ALTO ALEGRE DO MARANHAO";41,43;25,73;22,52;9,68;0,10;0,54;100,00
"210047 ALTO ALEGRE DO PINDARE";35,06;33,20;22,65;7,21;0,11;1,77;100,00
"210050 ALTO PARNAIBA";20,10;34,04;27,69;17,38;0,11;0,67;100,00
"210055 AMAPA DO MARANHAO";32,19;39,51;21,14;6,60;-;0,56;100,00
"210060 AMARANTE DO MARANHAO";26,81;34,28;26,66;10,89;0,10;1,25;100,00
"210070 ANAJATUBA";30,55;28,41;27,15;12,73;-;1,16;100,00
"210080 ANAPURUS";26,32;34,93;19,75;15,65;0,26;3,10;100,00
"210083 APICUM-ACU";22,28;37,93;29,55;10,11;0,06;0,06;100,00
"210087 ARAGUANA";33,24;29,13;25,29;10,89;0,09;1,36;100,00
"210090 ARAIOSES";43,63;29,54;18,40;7,12;0,12;1,19;100,00
"210095 ARAME";37,68;31,86;19,88;9,08;0,05;1,46;100,00
"210100 ARARI";22,16;24,08;30,52;21,94;0,27;1,03;100,00
"210110 AXIXA";12,01;29,18;33,97;24,46;0,06;0,32;100,00
"210120 BACABAL";23,55;20,68;27,50;26,99;0,14;1,13;100,00
"210125 BACABEIRA";20,09;25,95;36,17;17,59;0,08;0,13;100,00
"210130 BACURI";25,90;31,05;29,48;12,48;0,09;1,00;100,00
"210135 BACURITUBA";32,06;24,40;32,43;10,49;0,31;0,31;100,00
"210140 BALSAS";15,51;23,19;32,94;27,37;0,23;0,76;100,00
"210150 BARAO DE GRAJAU";22,36;26,42;30,45;17,90;0,62;2,25;100,00
"210160 BARRA DO CORDA";29,82;28,34;24,78;15,38;0,15;1,52;100,00
"210170 BARREIRINHAS";34,64;27,61;24,86;10,53;0,13;2,24;100,00
"210173 BELAGUA";42,65;31,42;18,65;6,18;-;1,09;100,00
"210177 BELA VISTA DO MARANHAO";34,13;30,28;26,00;7,83;0,32;1,43;100,00
"210180 BENEDITO LEITE";26,86;33,71;26,86;9,23;0,21;3,14;100,00
"210190 BEQUIMAO";22,37;23,22;32,95;20,04;0,14;1,28;100,00
"210193 BERNARDO DO MEARIM";31,32;29,53;24,13;13,84;0,12;1,07;100,00
"210197 BOA VISTA DO GURUPI";27,50;33,79;27,93;10,36;0,25;0,18;100,00
"210200 BOM JARDIM";43,04;28,32;19,03;8,62;0,12;0,87;100,00
"210203 BOM JESUS DAS SELVAS";38,57;27,69;24,38;9,03;0,09;0,24;100,00
"210207 BOM LUGAR";33,83;29,01;22,05;12,27;0,08;2,76;100,00
"210210 BREJO";28,29;27,10;25,64;16,23;1,13;1,61;100,00
"210215 BREJO DE AREIA";38,20;34,27;17,40;7,69;-;2,44;100,00
"210220 BURITI";29,50;32,96;18,93;14,76;0,47;3,38;100,00
"210230 BURITI BRAVO";30,41;29,28;24,93;12,74;0,54;2,10;100,00
"210232 BURITICUPU";33,06;27,25;26,94;10,67;0,36;1,71;100,00
"210235 BURITIRANA";26,74;31,55;29,16;11,69;0,06;0,80;100,00
"210237 CACHOEIRA GRANDE";35,04;32,76;22,06;9,80;-;0,34;100,00
"210240 CAJAPIO";25,96;29,92;26,22;16,53;-;1,37;100,00
"210250 CAJARI";15,42;42,89;32,72;8,69;-;0,27;100,00
"210255 CAMPESTRE DO MARANHAO";23,86;27,63;26,79;15,82;0,17;5,72;100,00
"210260 CANDIDO MENDES";22,65;32,38;30,34;13,42;0,16;1,04;100,00
"210270 CANTANHEDE";29,92;27,75;23,61;14,06;0,47;4,19;100,00
"210275 CAPINZAL DO NORTE";32,66;28,38;25,18;12,22;0,06;1,50;100,00
"210280 CAROLINA";21,27;25,65;28,69;23,13;0,12;1,14;100,00
"210290 CARUTAPERA";18,55;38,08;29,49;12,97;0,20;0,71;100,00
"210300 CAXIAS";28,28;19,87;26,20;24,25;0,16;1,24;100,00
"210310 CEDRAL";19,16;21,41;36,19;22,83;-;0,41;100,00
"210312 CENTRAL DO MARANHAO";28,44;30,58;25,95;11,78;-;3,26;100,00
"210315 CENTRO DO GUILHERME";43,12;34,93;16,44;4,17;0,44;0,91;100,00
"210317 CENTRO NOVO DO MARANHAO";36,47;35,20;21,54;5,48;0,10;1,21;100,00
"210320 CHAPADINHA";30,11;26,05;24,12;18,97;0,10;0,65;100,00
"210325 CIDELANDIA";27,00;26,31;30,88;13,13;0,08;2,59;100,00
"210330 CODO";33,26;26,50;22,94;15,38;0,19;1,73;100,00
"210340 COELHO NETO";30,30;27,43;24,11;16,02;0,43;1,72;100,00
"210350 COLINAS";27,17;30,13;24,13;15,70;0,08;2,79;100,00
"210355 CONCEICAO DO LAGO-ACU";41,21;33,63;18,57;5,42;-;1,17;100,00
"210360 COROATA";37,51;25,80;18,81;15,87;0,22;1,78;100,00
"210370 CURURUPU";14,61;29,40;33,81;20,38;0,13;1,67;100,00
"210375 DAVINOPOLIS";26,48;25,98;31,73;14,60;0,27;0,94;100,00
"210380 DOM PEDRO";24,35;25,05;25,06;23,96;0,07;1,52;100,00
"210390 DUQUE BACELAR";33,55;27,28;21,93;15,73;0,16;1,35;100,00
"210400 ESPERANTINOPOLIS";30,44;30,81;21,54;15,28;0,11;1,81;100,00
"210405 ESTREITO";18,99;26,05;32,25;22,41;-;0,30;100,00
"210407 FEIRA NOVA DO MARANHAO";27,35;37,12;28,78;6,75;-;-;100,00
"210408 FERNANDO FALCAO";48,47;29,50;16,77;5,26;-;-;100,00
"210409 FORMOSA DA SERRA NEGRA";25,28;37,14;28,10;8,38;0,40;0,70;100,00
"210410 FORTALEZA DOS NOGUEIRAS";21,00;26,12;32,45;19,38;0,59;0,46;100,00
"210420 FORTUNA";29,01;26,93;22,85;19,58;0,40;1,23;100,00
"210430 GODOFREDO VIANA";27,44;28,18;30,68;12,98;-;0,72;100,00
"210440 GONCALVES DIAS";41,06;24,23;20,01;13,00;0,42;1,28;100,00
"210450 GOVERNADOR ARCHER";29,83;30,41;23,95;12,67;0,59;2,54;100,00
"210455 GOVERNADOR EDISON LOBAO";24,20;25,40;33,97;14,29;0,04;2,09;100,00
"210460 GOVERNADOR EUGENIO BARROS";34,25;30,72;21,27;12,51;0,28;0,97;100,00
"210462 GOVERNADOR LUIZ ROCHA";34,14;28,69;25,76;11,01;-;0,40;100,00
"210465 GOVERNADOR NEWTON BELLO";45,89;28,16;17,37;6,13;0,23;2,22;100,00
"210467 GOVERNADOR NUNES FREIRE";32,36;27,91;28,40;10,37;-;0,95;100,00
"210470 GRACA ARANHA";27,79;27,77;30,38;12,79;-;1,27;100,00
"210480 GRAJAU";27,11;28,68;24,85;18,03;-;1,33;100,00
"210490 GUIMARAES";11,06;24,88;33,73;30,04;0,16;0,14;100,00
"210500 HUMBERTO DE CAMPOS";28,60;28,89;29,01;12,40;0,19;0,92;100,00
"210510 ICATU";24,50;35,86;26,80;11,19;0,08;1,56;100,00
"210515 IGARAPE DO MEIO";35,80;28,48;25,60;8,04;-;2,09;100,00
"210520 IGARAPE GRANDE";26,34;23,91;27,88;19,55;0,30;2,02;100,00
"210530 IMPERATRIZ";13,59;15,89;31,15;38,40;0,09;0,89;100,00
"210535 ITAIPAVA DO GRAJAU";44,94;30,09;17,73;3,82;0,29;3,13;100,00
"210540 ITAPECURU MIRIM";26,21;21,64;26,47;24,72;0,08;0,89;100,00
"210542 ITINGA DO MARANHAO";21,85;27,19;30,69;19,26;0,07;0,95;100,00
"210545 JATOBA";28,12;30,27;31,13;9,25;0,17;1,06;100,00
"210547 JENIPAPO DOS VIEIRAS";46,74;24,10;20,36;7,08;0,11;1,61;100,00
"210550 JOAO LISBOA";25,59;25,89;30,74;16,89;-;0,88;100,00
"210560 JOSELANDIA";37,80;26,71;22,52;11,59;0,35;1,03;100,00
"210565 JUNCO DO MARANHAO";25,15;35,62;27,40;11,09;0,15;0,59;100,00
"210570 LAGO DA PEDRA";33,82;26,53;21,02;15,31;0,56;2,75;100,00
"210580 LAGO DO JUNCO";34,53;28,85;21,08;12,58;0,18;2,76;100,00
"210590 LAGO VERDE";33,77;34,03;19,69;10,88;0,19;1,44;100,00
"210592 LAGOA DO MATO";37,15;32,76;21,82;8,27;-;-;100,00
"210594 LAGO DOS RODRIGUES";30,78;29,24;24,89;13,41;0,19;1,48;100,00
"210596 LAGOA GRANDE DO MARANHAO";39,57;29,21;18,65;4,36;1,57;6,64;100,00
"210598 LAJEADO NOVO";22,47;39,42;28,54;7,75;0,26;1,56;100,00
"210600 LIMA CAMPOS";34,84;24,32;24,09;14,23;0,18;2,33;100,00
"210610 LORETO";20,18;35,01;29,35;14,43;-;1,02;100,00
"210620 LUIS DOMINGUES";13,06;30,76;34,28;19,80;0,41;1,69;100,00
"210630 MAGALHAES DE ALMEIDA";29,17;29,39;24,46;15,06;0,07;1,84;100,00
"210632 MARACACUME";28,64;28,76;25,53;13,90;0,13;3,03;100,00
"210635 MARAJA DO SENA";40,94;38,70;13,93;4,42;-;2,00;100,00
"210637 MARANHAOZINHO";38,80;29,48;23,94;5,50;-;2,27;100,00
"210640 MATA ROMA";27,11;32,79;23,42;15,15;0,34;1,19;100,00
"210650 MATINHA";17,53;27,87;31,56;22,52;0,08;0,44;100,00
"210660 MATOES";33,88;33,39;21,21;7,97;0,18;3,37;100,00
"210663 MATOES DO NORTE";43,85;24,18;19,08;8,66;0,69;3,54;100,00
"210667 MILAGRES DO MARANHAO";36,97;32,69;20,82;9,01;0,24;0,27;100,00
"210670 MIRADOR";30,48;31,92;25,43;11,67;-;0,51;100,00
"210675 MIRANDA DO NORTE";21,23;26,19;29,83;22,21;0,09;0,46;100,00
"210680 MIRINZAL";16,63;22,20;29,88;29,29;-;2,01;100,00
"210690 MONCAO";24,85;35,21;26,63;10,81;0,21;2,29;100,00
"210700 MONTES ALTOS";25,19;28,61;30,27;14,82;0,15;0,96;100,00
"210710 MORROS";36,45;26,82;16,81;18,92;0,07;0,93;100,00
"210720 NINA RODRIGUES";24,09;23,73;25,32;17,13;0,22;9,51;100,00
"210725 NOVA COLINAS";25,30;30,71;26,45;15,09;0,31;2,13;100,00
"210730 NOVA IORQUE";31,79;24,41;24,99;18,23;0,10;0,48;100,00
"210735 NOVA OLINDA DO MARANHAO";30,24;29,00;22,54;14,28;0,37;3,57;100,00
"210740 OLHO D'AGUA DAS CUNHAS";33,92;24,91;25,36;14,30;-;1,51;100,00
"210745 OLINDA NOVA DO MARANHAO";20,54;32,27;29,38;16,93;-;0,88;100,00
"210750 PACO DO LUMIAR";7,26;11,29;24,04;56,45;0,03;0,92;100,00
"210760 PALMEIRANDIA";23,99;33,85;27,77;14,02;0,13;0,24;100,00
"210770 PARAIBANO";29,75;27,70;26,67;13,23;0,33;2,32;100,00
"210780 PARNARAMA";35,57;30,40;22,85;9,76;0,06;1,35;100,00
"210790 PASSAGEM FRANCA";33,33;29,12;23,48;13,85;-;0,23;100,00
"210800 PASTOS BONS";28,34;25,97;28,54;15,76;0,17;1,23;100,00
"210805 PAULINO NEVES";36,77;32,35;17,68;7,65;1,36;4,19;100,00
"210810 PAULO RAMOS";34,21;32,39;21,31;10,16;0,45;1,49;100,00
"210820 PEDREIRAS";23,88;19,86;26,60;28,16;0,20;1,31;100,00
"210825 PEDRO DO ROSARIO";29,89;38,44;23,46;6,15;-;2,06;100,00
"210830 PENALVA";26,50;32,67;28,00;12,12;0,07;0,63;100,00
"210840 PERI MIRIM";24,04;23,69;30,28;20,80;0,24;0,95;100,00
"210845 PERITORO";39,19;30,19;19,04;9,48;0,07;2,03;100,00
"210850 PINDARE-MIRIM";20,37;25,19;29,61;23,97;0,12;0,74;100,00
"210860 PINHEIRO";19,34;24,06;30,89;24,81;0,08;0,82;100,00
"210870 PIO XII";36,96;24,96;22,62;13,10;0,39;1,97;100,00
"210880 PIRAPEMAS";31,71;26,26;23,53;16,82;-;1,69;100,00
"210890 POCAO DE PEDRAS";27,38;29,54;25,42;13,98;0,19;3,50;100,00
"210900 PORTO FRANCO";17,46;23,76;32,34;24,70;-;1,75;100,00
"210905 PORTO RICO DO MARANHAO";17,19;27,91;37,53;16,51;-;0,85;100,00
"210910 PRESIDENTE DUTRA";22,29;26,08;25,39;25,06;0,07;1,10;100,00
"210920 PRESIDENTE JUSCELINO";37,41;27,81;22,72;10,26;0,08;1,71;100,00
"210923 PRESIDENTE MEDICI";29,09;25,34;28,28;16,08;0,26;0,95;100,00
"210927 PRESIDENTE SARNEY";33,22;31,29;28,55;5,91;0,04;0,99;100,00
"210930 PRESIDENTE VARGAS";27,50;28,46;25,45;16,16;0,49;1,94;100,00
"210940 PRIMEIRA CRUZ";32,69;22,53;27,89;12,61;0,41;3,88;100,00
"210945 RAPOSA";19,32;22,30;35,32;21,74;0,31;1,01;100,00
"210950 RIACHAO";27,55;27,56;29,92;14,62;0,09;0,27;100,00
"210955 RIBAMAR FIQUENE";21,88;33,87;30,94;11,70;-;1,61;100,00
"210960 ROSARIO";19,21;20,27;30,74;28,63;0,13;1,02;100,00
"210970 SAMBAIBA";17,30;36,04;29,83;16,28;-;0,56;100,00
"210975 SANTA FILOMENA DO MARANHAO";25,32;42,49;23,28;7,86;-;1,05;100,00
"210980 SANTA HELENA";27,32;29,09;28,50;14,19;-;0,89;100,00
"210990 SANTA INES";19,93;21,13;29,38;28,16;0,06;1,34;100,00
"211000 SANTA LUZIA";39,63;27,36;22,64;9,10;0,01;1,25;100,00
"211003 SANTA LUZIA DO PARUA";28,51;27,42;28,49;13,63;0,19;1,75;100,00
"211010 SANTA QUITERIA DO MARANHAO";27,97;35,18;22,88;12,25;0,19;1,53;100,00
"211020 SANTA RITA";24,12;26,91;27,85;20,40;-;0,73;100,00
"211023 SANTANA DO MARANHAO";46,18;31,54;16,47;2,99;0,48;2,34;100,00
"211027 SANTO AMARO DO MARANHAO";28,38;31,05;28,97;10,27;0,10;1,22;100,00
"211030 SANTO ANTONIO DOS LOPES";35,99;25,75;24,22;13,13;0,23;0,68;100,00
"211040 SAO BENEDITO DO RIO PRETO";29,25;26,13;25,16;15,48;2,48;1,50;100,00
"211050 SAO BENTO";25,56;20,28;29,20;24,23;0,07;0,66;100,00
"211060 SAO BERNARDO";25,57;30,86;24,88;15,03;0,27;3,40;100,00
"211065 SAO DOMINGOS DO AZEITAO";19,77;33,67;29,53;14,37;0,66;1,99;100,00
"211070 SAO DOMINGOS DO MARANHAO";26,17;33,35;26,48;11,98;0,05;1,96;100,00
"211080 SAO FELIX DE BALSAS";26,34;35,57;25,33;12,26;-;0,50;100,00
"211085 SAO FRANCISCO DO BREJAO";25,84;30,32;30,57;12,71;-;0,57;100,00
"211090 SAO FRANCISCO DO MARANHAO";34,35;31,26;21,14;10,77;0,05;2,44;100,00
"211100 SAO JOAO BATISTA";18,44;30,71;32,18;16,82;0,13;1,71;100,00
"211102 SAO JOAO DO CARU";41,63;34,33;14,81;2,91;0,94;5,38;100,00
"211105 SAO JOAO DO PARAISO";18,53;30,70;31,64;15,88;0,06;3,19;100,00
"211107 SAO JOAO DO SOTER";39,31;30,88;22,17;6,61;0,10;0,94;100,00
"211110 SAO JOAO DOS PATOS";18,95;27,23;30,01;22,67;-;1,15;100,00
"211120 SAO JOSE DE RIBAMAR";9,28;13,41;32,49;43,98;0,06;0,78;100,00
"211125 SAO JOSE DOS BASILIOS";26,44;34,27;27,58;11,60;-;0,11;100,00
"211130 SAO LUIS";5,48;10,08;25,42;58,43;0,07;0,52;100,00
"211140 SAO LUIS GONZAGA DO MARANHAO";31,44;33,97;21,55;9,70;-;3,34;100,00
"211150 SAO MATEUS DO MARANHAO";29,95;28,70;24,62;15,25;0,14;1,33;100,00
"211153 SAO PEDRO DA AGUA BRANCA";28,20;27,81;28,37;14,35;-;1,26;100,00
"211157 SAO PEDRO DOS CRENTES";17,28;34,89;35,01;11,97;0,45;0,41;100,00
"211160 SAO RAIMUNDO DAS MANGABEIRAS";20,15;27,03;27,80;21,84;-;3,18;100,00
"211163 SAO RAIMUNDO DO DOCA BEZERRA";30,02;38,61;17,74;7,05;0,13;6,44;100,00
"211167 SAO ROBERTO";36,57;38,66;18,06;5,44;-;1,27;100,00
"211170 SAO VICENTE FERRER";23,09;27,49;29,01;19,83;0,11;0,47;100,00
